,Large Individual Contributions,Small Individual Contributions (< $200),PAC Contributions,Other,Candidate self-financing,Labor,Business,Ideological
Bradley Byrne,0.22712512867789328,0.008321684117089863,0.7223427287315904,0.04221045847342643,0.0,0.017471785427586532,0.922793596826746,0.05973461774566747
Martha Roby,0.29393723082501216,0.01835361705935007,0.6535376279429767,0.03417152417266114,0.0,0.004820874386091778,0.7068305763957938,0.2883485492181144
Mike D Rogers,0.3847743606229991,0.008097861755603392,0.5942431995591065,0.012884578062291017,0.0,0.014738031490260617,0.9229937854633883,0.06226818304635111
Robert B Aderholt,0.28566468516954796,0.017143592376257726,0.6895868597904363,0.0076048626637579995,0.0,0.015044055576502314,0.9606033794590345,0.02435256496446312
Mo Brooks,0.5639861983797406,0.24196893045393233,0.20246285249385843,-0.008417981327531424,0.0,0.023232658479920346,0.7653501493528045,0.21141719216727514
Gary Palmer,0.24392764338549636,0.005857767215094365,0.26152104315989483,0.48869354623951444,0.0,0.0031245410830284303,0.8475286442303787,0.14934681468659292
Terri A Sewell,0.1763647438781016,0.008578342014132333,0.8150075552678783,4.935883988777595e-05,0.0,0.06147493127858241,0.9115653921551119,0.02695967656630569
Jeff Sessions,0.29544907719510893,0.0065587129079192575,0.5626630031391936,0.13532920675777818,0.0,0.0,0.8964226667070061,0.10357733329299394
Doug Jones,0.4266041247297804,0.5512903559481516,0.03496926527234473,-0.012863745950276674,0.0,0.1633042453491961,0.5620247481691405,0.27467100648166337
Luther Strange,0.5699520876112252,0.008877747851053806,0.30571055228139415,0.09768136039183267,0.017778251864494166,0.0045779383227834295,0.7683832499161161,0.22703881176110055
Richard C Shelby,0.4148405077117455,0.0025484095196314453,0.47157044559622524,0.11104063717239779,0.0,0.014209127444904731,0.8952263813141499,0.09056449124094543
Don Young,0.5086577423463048,0.0375683522056445,0.45618003345601627,-0.002406128007965563,0.0,0.2510260690572716,0.6132405493167609,0.13573338162596757
Dan Sullivan,0.6805728329805064,0.04615418692455677,0.1461680648521224,0.12704192918729723,6.298605551716905e-05,0.015466426169468037,0.627003417736485,0.35753015609404687
Lisa Murkowski,0.512536384782581,0.023593704320414882,0.4520046585232545,0.011865252373749571,0.0,0.04687427951789422,0.802211610957527,0.15091410952457876
Tom O'Halleran,0.5043107084034397,0.08763738255798295,0.40647923298098876,0.001572676057588578,0.0,0.1883448726870748,0.43709418064507893,0.3745609466678463
Martha McSally,0.5327201247213992,0.29315449593186355,0.058812251072495235,0.11531312827424202,0.0,0.009393218400959429,0.6248049003151044,0.36580188128393615
Raul M Grijalva,0.3438485216733351,0.26047697387276875,0.40626755477088516,-0.010593050316989006,0.0,0.5805860805860806,0.3241758241758242,0.09523809523809523
Paul Gosar,0.48850352756187887,0.1361283715284722,0.36241129371521574,0.012956807194433142,0.0,0.0,0.8801258727505162,0.11987412724948372
Andy Biggs,0.509376319311945,0.03133621550152672,0.5096054091380658,-0.050317943951537686,0.0,0.02755374601281087,0.8560754389149658,0.11637081507222323
David Schweikert,0.2718322606781563,0.016047908735474483,0.5500833176774838,0.1620365129088854,0.0,0.0027262486491437944,0.9161831210312635,0.08109063031959268
Ruben Gallego,0.3520948450315235,0.10532461284661696,0.5430664924127481,-0.00048595029088848075,0.0,0.3117119641356122,0.5625525357242925,0.12573550014009527
Debbie Lesko,0.4368336524502877,0.26291989601770976,0.2620850474817091,0.0373395774152009,0.0008218266350925761,0.020787270631366102,0.5402800612279608,0.4389326681406731
Trent Franks,0.3706636271089107,0.01927276840484125,0.8113704983076508,-0.20130689382140277,0.0,0.04361370716510903,0.7881619937694704,0.16822429906542055
Kyrsten Sinema,0.5924289061435674,0.2496702727775331,0.11592864953388582,0.04197217154501374,0.0,0.11269563163807189,0.5654476390165442,0.321856729345384
John McCain,0.5794100655671938,0.06440353425935888,0.159731973076738,0.19645442709670932,0.0,0.005870354573931923,0.706831783183421,0.28729786224264703
Jeff Flake,0.6327478657367467,0.03942206481518396,0.5444624648742048,-0.21663239542613544,0.0,0.0006921766047076315,0.8280335677966218,0.17127425559867046
Rick Crawford,0.4593677740521275,0.04857997083846769,0.4881738694996883,0.0038783856097165835,0.0,0.004020367180134561,0.8839782337320867,0.11200139908777869
French Hill,0.5381410873502547,0.029348131665170137,0.42973353802011544,0.0027772429644598094,0.0,0.003930178029204367,0.8544993071096134,0.1415705148611822
Steve Womack,0.4153680347934182,0.02512451742745416,0.5613770788219828,-0.0018696310428552674,0.0,0.00831083112844465,0.9085808575871088,0.08310831128444651
Bruce Westerman,0.520138089043839,0.04453557934997563,0.4434912188655463,-0.008164887259360903,0.0,0.013578237087453851,0.8868732750279068,0.0995484878846393
Tom Cotton,0.5398465543887567,0.18471291309018778,0.13961891479149785,0.1358216177295577,0.0,0.002189331823888556,0.7340917178771283,0.2637189502989831
John Boozman,0.48127658813129404,0.03844955869089821,0.4308885467825057,0.04938530639530203,0.0,0.011448499365929265,0.8224720832746231,0.16607941735944765
Doug LaMalfa,0.5377929099962385,0.023728273219699142,0.44158906436948964,-0.003110247585427324,0.0,0.03258209611125951,0.8296403367426951,0.13777756714604533
Jared Huffman,0.5123339740219442,0.08704566414700787,0.41428168176450814,-0.013661319933460321,0.0,0.37307165413751303,0.561193017330462,0.06573532853202493
John Garamendi,0.31334893217753784,0.04979920476598573,0.6438451542289815,-0.006993291172505096,0.0,0.3857024071135849,0.58157487619387,0.03272271669254505
Tom McClintock,0.6526874411433425,0.23909997784219952,0.11534750817068892,-0.007134927156230958,0.0,0.0,0.7955020361353277,0.2044979638646723
Mike Thompson,0.3050780317157369,0.08310084515321611,0.60647220716263,0.005348915968417091,0.0,0.09254686673174388,0.883464678201872,0.023988455066384137
Doris Matsui,0.2073616526694661,0.025358990701859627,0.7672756073785243,3.749250149970006e-06,0.0,0.10551126687563245,0.8858047239430362,0.008684009181331293
Ami Bera,0.5013318509491471,0.10265167978994534,0.40880477294826967,-0.012788303687362161,0.0,0.04780351662495411,0.7859830679776088,0.1662134153974371
Paul Cook,0.3090393885778019,0.01143448653636073,0.6772683865606252,0.0022577383252122096,0.0,0.2694362911116129,0.5166704297433582,0.21389327914502898
Jerry McNerney,0.5450489624324907,0.10084449642914811,0.36069005595823667,-0.0065835148198754604,0.0,0.3405071226896448,0.6029781216966325,0.05651475561372279
Jeff Denham,0.34627223087609466,0.019273778711692918,0.5189300663469641,0.11552392406524824,0.0,0.07126335598971452,0.6874271415620063,0.2413095024482791
Mark Desaulnier,0.3100252635246973,0.09044516072828644,0.5995295757470163,0.0,0.0,0.5405009521019482,0.4404570089351106,0.019042038962941262
Nancy Pelosi,0.33281202718520464,0.3246574355219743,0.2599569217165812,0.08257361557623981,0.0,0.21451882787327314,0.7447658097437528,0.04071536238297402
Barbara Lee,0.5666042744128715,0.20905100729793713,0.23903461574415263,-0.01468989745496127,0.0,0.41868792539320204,0.4869598333608124,0.09435224124598554
Jackie Speier,0.6108543880705659,0.035991950829794554,0.3344318718528344,0.018721789246805103,0.0,0.2736634392283113,0.6976728047334422,0.028663756038246502
Eric Swalwell,0.5990933976119956,0.07243483083749307,0.31128633769393793,0.017185433856573354,0.0,0.19513090031229283,0.7642147440574719,0.040654355630235284
Jim Costa,0.42244799453108534,0.002448890000338531,0.580986457665599,-0.0058833421970228925,0.0,0.05674999302254184,0.8284475620761195,0.11480244490133874
Ro Khanna,0.9424091405362592,0.06068587819181842,0.0,-0.003095018728077716,0.0,-1.597444089456869,2.597444089456869,0.0
Anna Eshoo,0.5705776546894851,0.04023769916573921,0.39726870361684913,-0.008084057472073414,0.0,0.1106369527422159,0.8691674130270621,0.02019563423072195
Zoe Lofgren,0.5602376305268758,0.021810079429610822,0.2898916879726382,0.1280606020708752,0.0,0.13457830398056414,0.7828442822941128,0.08257741372532297
Jimmy Panetta,0.4126169564452471,0.0174252752046311,0.5746171476404662,-0.004876281429722502,0.0002169021393781014,0.12822918621379872,0.7828096439468178,0.08896116983938339
David Valadao,0.3330256600719693,0.05955322427246251,0.4666073884882631,0.14081372716730503,0.0,0.06345920395196303,0.6777061569237608,0.2588346391242761
Devin Nunes,0.3922622197135025,0.4914082996588425,0.11323678706962946,0.0030926935580255863,0.0,0.001044128344256076,0.9545309949498992,0.04442487670584468
Kevin McCarthy,0.07342874626130468,0.002841327059508222,0.40129537568136064,0.5224345509978264,0.0,0.013236676838581849,0.97563469865441,0.011128624507008151
Salud Carbajal,0.6655049255043545,0.05521894099277261,0.2788061663786105,0.0004699671242623822,0.0,0.19466890120519584,0.38177333265075725,0.4235577661440469
Steve Knight,0.3476762935707098,0.033132972502515845,0.5050701521939317,0.11412058173284273,0.0,0.01678680291824905,0.6071318146612033,0.37608138242054767
Julia Brownley,0.5206053940190187,0.10490912859607472,0.3550459754486755,0.01943950193623113,0.0,0.28421801742389674,0.509148822549147,0.2066331600269563
Judy Chu,0.5324433717257075,0.04574621474886342,0.41794059979246334,0.003869813732965653,0.0,0.2847780756627942,0.6766245372143496,0.03859738712285629
Adam Schiff,0.472918425998311,0.3193174534552447,0.09067991294728357,0.1170842075991607,0.0,0.23930140757192514,0.6947460219830085,0.0659525704450664
Tony Cardenas,0.36701813310086456,0.04155023171113256,0.6093274093010693,-0.017895774113066476,0.0,0.1333977642749001,0.8118341496133608,0.05476808611173911
Brad Sherman,0.5276798501509496,0.023049218133519015,0.4343255893580703,0.014945342357461054,0.0,0.24658927209558512,0.73900516905347,0.014405558850944836
Pete Aguilar,0.4285033822690463,0.18928200852086832,0.3700405739871124,0.01217403522297302,0.0,0.17378541374334774,0.7552733942476035,0.07094119200904876
Grace Napolitano,0.20616399853354517,0.005858487107417818,0.7877306611267262,0.0002468532323108884,0.0,0.4114114114114114,0.5675675675675675,0.021021021021021023
Ted Lieu,0.6762190217345289,0.054215809957637286,0.2686366317548212,0.0009285365530126636,0.0,0.2306646883533035,0.6744344559014833,0.09490085574521319
Jimmy Gomez,0.4571752694271129,0.037784648026653295,0.4974430155445296,0.004370588193539686,0.00322647880816454,0.38077277239632445,0.4609217079193547,0.15830551968432086
Xavier Becerra,0.313921257633629,0.017243909281198073,0.6134378843788438,0.05539694870632917,0.0,0.13185547924326577,0.8518310926841216,0.016313428072612587
Norma Torres,0.3675692902969561,0.019892633271514186,0.6145175704113696,-0.0019794939798399107,0.0,0.2931576481427678,0.5955576146390366,0.11128473721819566
Raul Ruiz,0.47986008215436093,0.1366196358077269,0.38830915211616457,-0.004788870078252461,0.0,0.11254314834861823,0.6600829265303622,0.22737392512101962
Karen Bass,0.5100646654044052,0.0628705910080302,0.44230139494619525,-0.015236651358630685,0.0,0.2447808665554499,0.6777831480586435,0.07743598538590665
Linda Sanchez,0.2046401893993165,0.01909420574650478,0.779131114210932,-0.003217465470172306,0.00035195611341903073,0.16461816760284734,0.8155013087701722,0.019880523626980433
Ed Royce,0.7794791242756283,0.017305051934172342,0.4076829359510235,-0.20446711216082414,0.0,0.003275734993039063,0.8493980836950291,0.14732618131193187
Lucille Roybal-Allard,0.3435387994665296,0.011432848195410728,0.6486429706272404,-0.003614618289180718,0.0,0.49023924849552325,0.4848084544253633,0.02495229707911346
Mark Takano,0.5983315600578437,0.08007088106816121,0.31947056487565845,0.0021269939983366176,0.0,0.4996331621423331,0.42450476889214966,0.07586206896551724
Ken Calvert,0.5345733696407415,0.011180492761248198,0.45505407007295307,-0.0008079324749427822,0.0,0.013393996387850658,0.876775233231774,0.10983077038037539
Maxine Waters,0.3200529347559025,0.04731829284155454,0.3546270468702577,0.27800172553228525,0.0,0.13337101874260276,0.8171668815912664,0.04946209966613083
Nanette Barragan,0.5533098173345579,0.09122173942672451,0.3615880113837337,-0.006119568145016047,0.0,0.354997319221275,0.44801576627269285,0.1969869145060322
Mimi Walters,0.21556009461296124,0.06358159919080375,0.40561410495314437,0.3152442012430906,0.0,0.005495537623449759,0.7324027889353845,0.26210167344116575
Lou Correa,0.3486017646580249,0.010063324920408005,0.6528394293515432,-0.01150451892997603,0.0,0.13533301394742042,0.7983538092183435,0.066313176834236
Alan Lowenthal,0.32325067433837895,0.05041471988418336,0.6407261908324178,-0.01439158505498013,0.0,0.45054108599961723,0.5233615185204517,0.026097395479931104
Dana Rohrabacher,0.7234838600257169,0.0536016820381574,0.12526809575854586,0.09764636217757994,0.0,0.0,0.3608393424049662,0.6391606575950338
Darrell Issa,0.32054100312734646,0.24488424773033526,0.2854613784089214,0.1383686476565127,0.010744723076884182,0.0,0.7123194945848376,0.28768050541516244
Duncan D. Hunter,0.4871820471860408,0.0712270623412796,0.4163603192157505,0.025230571256929086,0.0,0.1102389127120938,0.5841750601911871,0.30558602709671906
Juan Vargas,0.2124813858802303,0.00329906477201756,0.7717536349436941,0.012465914404058077,0.0,0.15990696322139847,0.8161069922953917,0.02398604448320977
Scott Peters,0.36491541640892355,0.07415410771771246,0.5686973442999746,-0.007766868426610666,0.0,0.04553465547627939,0.8399820482077691,0.11448329631595154
Susan Davis,0.19479613630678647,0.045544630659406206,0.7608810682880838,-0.0012218352542764234,0.0,0.1232134056185313,0.8137013307047807,0.06308526367668803
Kamala Harris,0.5777854757403879,0.34873597217694796,0.039824388604480274,0.033654163478183834,0.0,0.2511629849928811,0.4130131319542673,0.33582388305285155
Dianne Feinstein,0.2752577035785409,0.07762069505722297,0.11458437485571452,0.27116572850162646,0.26137149800689513,0.056781879045045544,0.7837517857104952,0.15946633524445925
Diana DeGette,0.39545835609130287,0.059807943907426935,0.5466675981556518,-0.0019338981543815972,0.0,0.13036170990135185,0.8411399342345633,0.028498355864084765
Scott Tipton,0.4913250592461098,0.04742460530940895,0.4662741283798,-0.005023792935318744,0.0,0.001363945731327242,0.8892857970967051,0.10935025717196764
Ken Buck,0.47271572020951186,0.03848258586476871,0.508495410066749,-0.01969371614102963,0.0,0.01286947457152693,0.8612895856994398,0.1258409397290332
Douglas L Lamborn,0.3062759030754015,0.01914031224979984,0.6753932557810954,-0.0008094711062968022,0.0,0.0021420982280563458,0.8085349761798677,0.18932292559207595
Mike Coffman,0.5307796571504105,0.07354098109007877,0.3453733640770127,0.05030599768249796,0.0,0.008294374905745739,0.6135952345045996,0.3781103905896547
Ed Perlmutter,0.28374010081044926,0.0813312099253893,0.6354166845236361,-0.00048799525947462225,0.0,0.1224958258215875,0.8047167994148605,0.07278737476355199
Michael Bennet,0.5715793824428268,0.10922015075612262,0.21746071813787105,0.10131023411851107,0.00042951454466843886,0.04844743432170623,0.7831336202009543,0.1684189454773394
Cory Gardner,0.5291270150411622,0.12360113236699483,0.2492254321544119,0.09804642043743106,0.0,0.004474168591011097,0.7568251408142879,0.23870069059470106
John B Larson,0.25273862195609975,0.042240913958588124,0.7097116826676739,-0.004691218582361866,0.0,0.13932026603330352,0.8481244582831483,0.012555275683548172
Joe Courtney,0.33438656746893963,0.09464621978823624,0.563986373401606,0.006980839341218192,0.0,0.3304677025001972,0.6450824197491916,0.02444987775061125
Rosa L DeLauro,0.4421715348573445,0.0990147528946016,0.4636679053848412,-0.00485419313678731,0.0,0.40877393614734436,0.4966422755139769,0.09458378833867875
Jim Himes,0.37692192246843725,0.0813104648014643,0.47832254442416244,0.063445068305936,0.0,0.03381473215658065,0.9464774271292522,0.019707840714167143
Elizabeth Esty,0.719053155672221,0.07754811258845012,0.5209908553983109,-0.317592123658982,0.0,0.22107563006554568,0.45998346095286374,0.3189409089815906
Christopher S Murphy,0.5918348652537564,0.2704660554950563,0.11922130501392665,0.018477774237260623,0.0,0.08987163335036456,0.7469924901709836,0.16313587647865188
Richard Blumenthal,0.6559066079785851,0.09179987588160307,0.2348792586135869,0.017395140287381827,1.9117238843046805e-05,0.12805635051315473,0.6743532248802003,0.19759042460664492
Lisa Blunt Rochester,0.24145166652845185,0.06486180926505977,0.6936926107309992,-0.0009799304462411527,0.0009738439217303381,0.17793536212294844,0.7338587595891924,0.08820587828785915
Tom Carper,0.353836853697162,0.03400408026443604,0.6159862199003087,-0.0038271538619067177,0.0,0.060472652505703176,0.8267608433160505,0.11276650417824631
Chris Coons,0.5666387955594685,0.04701044059622599,0.3514138484776756,0.02292980397699697,0.012007111389632969,0.07327750699763916,0.7406909754517933,0.18603151755056752
Matt Gaetz,0.6030455510339491,0.1850592420862541,0.2655976514423021,-0.05370244456250523,0.0,0.0030275690437120417,0.8680010172631987,0.12897141369308926
Neal Dunn,0.6031311829246357,0.024276035733557168,0.3832543917501049,-0.01066161040829786,0.0,0.0,0.8714293714573724,0.12857062854262755
Ted Yoho,0.6607485788802355,0.04832520089802266,0.3081825569955943,-0.017256336773852493,0.0,0.00890967019964789,0.8357092453865728,0.15538108441377935
John Rutherford,0.5678973406316125,0.009083526221153751,0.4975251582011265,-0.07450602505389269,0.0,0.01727614435946227,0.8736768324436119,0.10904702319692583
Al Lawson,0.33694672431481754,0.046938663344569836,0.7480213982119303,-0.1319067858713176,0.0,0.16557241695991382,0.7095859806523112,0.12484160238777502
Ron DeSantis,0.4221398559712327,0.23461401636428317,0.36007191823627255,-0.016825790571788436,0.0,0.013755158184319119,0.6327372764786795,0.3535075653370014
Stephanie Murphy,0.4447435610962127,0.08197683583541453,0.4696608487259145,0.003618754342458202,0.0,0.11098676176409979,0.5753010391673938,0.31371219906850634
Bill Posey,0.5592773975934875,0.059320641304230315,0.38189169612644464,-0.0004897350241624234,0.0,0.014280043068609895,0.9356541259328438,0.05006583099854629
Darren Soto,0.398069518364327,0.021729395897776425,0.5852744718521885,-0.005073386114291912,0.0,0.20606481033963164,0.5186999266491156,0.27523526301125284
Val Demings,0.25507628352192063,0.03974290626141857,0.7051233055593825,5.750465727823269e-05,0.0,0.2950379402843209,0.6032664686988667,0.10169559101681237
Daniel Webster,0.6162192994674042,0.12306909153617075,0.26070497642119506,6.632575229984546e-06,0.0,0.0,0.936908119294128,0.06309188070587196
Gus Bilirakis,0.47578456811958436,0.04633769266351199,0.46611125815364596,0.011766481063257698,0.0,0.0021284226366261095,0.9344413901579609,0.063430187205413
Charlie Crist,0.7003782816892448,0.045049676582490185,0.3162911107819439,-0.061719069053678854,0.0,0.210399394697126,0.5278344237686577,0.2617661815342162
Kathy Castor,0.3945132502735587,0.0798039088867975,0.5260445059245756,-0.0003616650849318974,0.0,0.1443524022012475,0.8328551132406607,0.022792484558091713
Dennis Ross,0.2651070443152547,0.0021943983533924886,0.7903217327659529,-0.057623175434600056,0.0,0.01578055905260537,0.9575678301029944,0.02665161084440018
Vernon Buchanan,0.35233302556009166,0.007318074525632877,0.4613043689231848,0.006976002290576254,0.1720685287005144,0.008179861775208476,0.8596410081754,0.1321791300493915
Tom Rooney,0.19228372531913757,0.005675040504210658,0.9335998005946552,-0.13155856641800345,0.0,0.010243277848911651,0.93854033290653,0.05121638924455826
Brian Mast,0.4054843340504275,0.3078404029078839,0.18647392400990526,0.10020133903178333,0.0,0.09049926314080355,0.5193344577718904,0.39016627908730606
Francis Rooney,0.46394928782906314,0.012884492020062758,0.0,0.03154402708994307,0.491622193060931,-0.0,-0.11912181303116147,1.1191218130311615
Alcee L Hastings,0.469191471780658,0.030493592936324775,0.48447312024191086,0.015841815041106343,0.0,0.24301640987097584,0.5286233245647,0.22836026556432418
Lois J Frankel,0.4371962408315773,0.06898256221530173,0.48901222046992676,0.004808976483194167,0.0,0.3859630141318641,0.5578590808462474,0.056177905021888574
Ted Deutch,0.6987644603981079,0.030726536718027518,0.2855307609615803,-0.015021758077715691,0.0,0.18333561362703515,0.6526200574634012,0.16404432890956355
Debbie Wasserman Schultz,0.5476936417929834,0.17064727313973346,0.26517196494383094,0.01648712012345216,0.0,0.2614892369315395,0.6681452954228239,0.07036546764563664
Frederica Wilson,0.06430016040170165,0.013317525629402329,0.9218467117651161,0.000535602203779901,0.0,0.38929864406017406,0.560241505700344,0.05045985023948191
Mario Diaz-Balart,0.41765390006942693,0.002979167495810062,0.5887638909156838,-0.009396958480920857,0.0,0.1379705277150152,0.7137972011269077,0.14823227115807713
Carlos Curbelo,0.369375407739292,0.011783947924092573,0.47368260797565065,0.14515803636096475,0.0,0.042468820807390575,0.7169307366841511,0.24060044250845838
Bill Nelson,0.5633805669087669,0.21675597216454176,0.0985953333637438,0.12125890926344537,9.218299502075039e-06,0.1077859581952459,0.6334502073312703,0.2587638344734838
Marco Rubio,0.5174636033599431,0.20604754630342567,0.1365966780765401,0.1398921722600911,0.0,0.00739391257727726,0.7796196513378777,0.212986436084845
Buddy Carter,0.47575638406622267,0.041018100413392516,0.6314000822014912,-0.14817456668110646,0.0,0.012451251128394633,0.9428585404465553,0.044690208425050136
